Name,bo:ligand_ligand,bo:ligand_sc,bo:ligand_solvent,cc:ligand_ligand,cc:ligand_mc,cc:ligand_sc,cc:ligand_solvent,hb:ligand_mc,hb:ligand_sc,hb:ligand_solvent,so:ligand_ligand,so:ligand_mc,so:ligand_sc,so:ligand_solvent,wc:ligand_ligand,wc:ligand_mc,wc:ligand_sc,wc:ligand_solvent,Total
res_8-aa.pdb,2,7,2,3,3,6,2,1,3,4,3,2,7,3,2,3,6,3,62
res_9-aa.pdb,2,6,2,3,2,5,4,1,3,6,3,2,6,4,2,2,5,5,63
res_10-aa.pdb,2,7,2,3,3,6,4,1,3,6,3,2,7,5,2,3,6,4,69
res_10-ab.pdb,2,7,2,3,3,6,4,1,3,6,3,2,7,4,2,3,6,5,69
res_11-aa.pdb,2,7,2,3,3,6,5,1,3,7,3,2,7,5,2,3,6,5,72
res_12-aa.pdb,2,6,2,3,7,9,2,6,4,4,3,3,8,3,2,6,9,3,82
res_13-aa.pdb,2,7,2,3,8,10,2,6,4,4,3,3,9,3,2,7,10,3,88
res_14-aa.pdb,2,6,2,3,9,10,2,6,4,4,3,5,9,3,2,8,10,3,91
res_14-ab.pdb,2,6,2,3,7,9,4,6,4,6,3,3,8,5,2,6,9,4,89
res_14-ac.pdb,2,6,2,3,7,9,4,6,4,6,3,3,8,4,2,6,9,5,89
res_15-aa.pdb,2,6,2,3,7,9,5,6,4,7,3,3,8,5,2,6,9,5,92
res_15-ab.pdb,2,7,2,3,10,11,2,6,4,4,3,5,10,3,2,9,11,3,97
res_15-ac.pdb,2,7,2,3,8,10,4,6,4,6,3,3,9,5,2,7,10,4,95
res_15-ad.pdb,2,7,2,3,8,10,4,6,4,6,3,3,9,4,2,7,10,5,95
res_16-aa.pdb,2,7,2,3,8,10,5,6,4,7,3,3,9,5,2,7,10,5,98
res_16-ab.pdb,2,6,2,3,9,10,4,6,4,6,3,5,9,5,2,8,10,4,98
res_16-ac.pdb,2,6,2,3,9,10,4,6,4,6,3,5,9,4,2,8,10,5,98
